Period,Region,Product,Pipeline,Railway,Marine,Truck
1/1/1990,AB,Butane,7004,22143,NULL,30
2/1/1990,AB,Butane,25250,29852,NULL,95
3/1/1990,AB,Butane,27770,13789,NULL,30
4/1/1990,AB,Butane,3123,20236,NULL,30
5/1/1990,AB,Butane,13776,24350,NULL,30
6/1/1990,AB,Butane,7792,16007,NULL,30
7/1/1990,AB,Butane,5950,32719,NULL,32
8/1/1990,AB,Butane,10159,18939,NULL,62
9/1/1990,AB,Butane,3238,21456,NULL,31
10/1/1990,AB,Butane,18670,20074,NULL,63
11/1/1990,AB,Butane,34295,24919,NULL,NULL
12/1/1990,AB,Butane,27975,23192,NULL,31
1/1/1991,AB,Butane,32048,19373,NULL,31
2/1/1991,AB,Butane,23182,32742,NULL,31
3/1/1991,AB,Butane,14155,13652,NULL,NULL
4/1/1991,AB,Butane,5132,13001,NULL,31
5/1/1991,AB,Butane,11492,19458,NULL,32
6/1/1991,AB,Butane,7238,23344,NULL,30
7/1/1991,AB,Butane,16622,26650,NULL,31
8/1/1991,AB,Butane,11592,31080,NULL,63
9/1/1991,AB,Butane,NULL,27783,NULL,62
10/1/1991,AB,Butane,NULL,42949,NULL,62
11/1/1991,AB,Butane,47326,42746,NULL,31
12/1/1991,AB,Butane,23778,52554,NULL,62
1/1/1992,AB,Butane,27976,34207,NULL,62
2/1/1992,AB,Butane,18746,16386,NULL,63
3/1/1992,AB,Butane,7835,8454,NULL,32
4/1/1992,AB,Butane,11082,6474,NULL,380
5/1/1992,AB,Butane,2376,8532,NULL,31
6/1/1992,AB,Butane,NULL,10080,NULL,31
7/1/1992,AB,Butane,8407,11934,NULL,32
8/1/1992,AB,Butane,4050,20454,NULL,60
9/1/1992,AB,Butane,4050,12724,NULL,NULL
10/1/1992,AB,Butane,4095,31860,NULL,31
11/1/1992,AB,Butane,465,35745,NULL,3141
12/1/1992,AB,Butane,9805,32358,NULL,970
1/1/1993,AB,Butane,NULL,56064,NULL,31
2/1/1993,AB,Butane,NULL,22357,NULL,31
3/1/1993,AB,Butane,16755,21238,NULL,29
4/1/1993,AB,Butane,12191,14670,NULL,30
5/1/1993,AB,Butane,9110,14345,NULL,NULL
6/1/1993,AB,Butane,1644,11873,NULL,30
7/1/1993,AB,Butane,NULL,16972,NULL,30
8/1/1993,AB,Butane,4111,21529,NULL,61
9/1/1993,AB,Butane,2390,10997,NULL,NULL
10/1/1993,AB,Butane,5679,24161,NULL,60
11/1/1993,AB,Butane,7138,35400,NULL,212
12/1/1993,AB,Butane,14147,34960,NULL,30
1/1/1994,AB,Butane,17639,23510,NULL,226
2/1/1994,AB,Butane,41734,18091,NULL,1285
3/1/1994,AB,Butane,NULL,9846,NULL,152
4/1/1994,AB,Butane,10649,9645,NULL,30
5/1/1994,AB,Butane,2449,12472,NULL,29
6/1/1994,AB,Butane,4029,8775,NULL,NULL
7/1/1994,AB,Butane,6269,7978,NULL,29
8/1/1994,AB,Butane,6554,7871,NULL,30
9/1/1994,AB,Butane,6836,4636,NULL,NULL
10/1/1994,AB,Butane,15883,10009,NULL,NULL
11/1/1994,AB,Butane,24623,39703,NULL,NULL
12/1/1994,AB,Butane,26440,37743,NULL,NULL
1/1/1995,AB,Butane,25881,29269,NULL,NULL
2/1/1995,AB,Butane,21447,42487,NULL,NULL
3/1/1995,AB,Butane,8993,9676,NULL,NULL
4/1/1995,AB,Butane,7158,9654,NULL,NULL
5/1/1995,AB,Butane,3019,14215,NULL,NULL
6/1/1995,AB,Butane,5364,18589,NULL,NULL
7/1/1995,AB,Butane,2590,18561,NULL,NULL
8/1/1995,AB,Butane,3002,25573,NULL,NULL
9/1/1995,AB,Butane,2448,28428,NULL,177
10/1/1995,AB,Butane,9027,51845,NULL,NULL
11/1/1995,AB,Butane,11615,85104,NULL,NULL
12/1/1995,AB,Butane,21616,89720,NULL,NULL
1/1/1996,AB,Butane,31888,80565,NULL,73
2/1/1996,AB,Butane,27960,55133,NULL,133
3/1/1996,AB,Butane,17397,39913,NULL,614
4/1/1996,AB,Butane,10003,33783,NULL,476
5/1/1996,AB,Butane,7181,30650,NULL,31
6/1/1996,AB,Butane,1615,41796,NULL,NULL
7/1/1996,AB,Butane,68,44789,NULL,27
8/1/1996,AB,Butane,6479,52203,NULL,35
9/1/1996,AB,Butane,15373,37998,NULL,NULL
10/1/1996,AB,Butane,17126,58500,NULL,NULL
11/1/1996,AB,Butane,15360,61202,NULL,NULL
12/1/1996,AB,Butane,26463,85561,NULL,NULL
1/1/1997,AB,Butane,31126,130745,NULL,NULL
2/1/1997,AB,Butane,21150,119995,NULL,231
3/1/1997,AB,Butane,15610,72501,NULL,NULL
4/1/1997,AB,Butane,1623,24970,NULL,NULL
5/1/1997,AB,Butane,3220,21688,NULL,NULL
6/1/1997,AB,Butane,NULL,20001,NULL,NULL
7/1/1997,AB,Butane,1598,17495,NULL,NULL
8/1/1997,AB,Butane,4003,13874,NULL,NULL
9/1/1997,AB,Butane,NULL,18043,NULL,NULL
10/1/1997,AB,Butane,NULL,53803,NULL,NULL
11/1/1997,AB,Butane,NULL,64361,NULL,NULL
12/1/1997,AB,Butane,NULL,68016,NULL,119
1/1/1998,AB,Butane,NULL,62497,NULL,NULL
2/1/1998,AB,Butane,NULL,42419,NULL,NULL
3/1/1998,AB,Butane,NULL,15411,NULL,NULL
4/1/1998,AB,Butane,NULL,8450,NULL,NULL
5/1/1998,AB,Butane,NULL,14105,NULL,NULL
6/1/1998,AB,Butane,NULL,22909,NULL,NULL
7/1/1998,AB,Butane,NULL,20672,NULL,NULL
8/1/1998,AB,Butane,NULL,16112,NULL,NULL
9/1/1998,AB,Butane,NULL,31210,NULL,NULL
10/1/1998,AB,Butane,NULL,108650,NULL,1994
11/1/1998,AB,Butane,NULL,152898,NULL,NULL
12/1/1998,AB,Butane,NULL,110040,NULL,272
1/1/1999,AB,Butane,NULL,73633,NULL,255
2/1/1999,AB,Butane,NULL,35832,NULL,286
3/1/1999,AB,Butane,NULL,17333,NULL,364
4/1/1999,AB,Butane,NULL,18587,NULL,NULL
5/1/1999,AB,Butane,NULL,9773,NULL,NULL
6/1/1999,AB,Butane,NULL,15593,NULL,NULL
7/1/1999,AB,Butane,NULL,15484,NULL,NULL
8/1/1999,AB,Butane,NULL,13762,NULL,NULL
9/1/1999,AB,Butane,NULL,22445,NULL,NULL
10/1/1999,AB,Butane,NULL,59410,NULL,100
11/1/1999,AB,Butane,NULL,68306,NULL,315
12/1/1999,AB,Butane,NULL,90090,NULL,424
1/1/2000,AB,Butane,NULL,93308,NULL,306
2/1/2000,AB,Butane,27379,48825,NULL,320
3/1/2000,AB,Butane,10665,12584,NULL,64
4/1/2000,AB,Butane,10361,7797,NULL,NULL
5/1/2000,AB,Butane,6106,13075,NULL,NULL
6/1/2000,AB,Butane,11217,12658,NULL,NULL
7/1/2000,AB,Butane,6562,14114,NULL,NULL
8/1/2000,AB,Butane,12895,19623,NULL,NULL
9/1/2000,AB,Butane,15174,21552,NULL,NULL
10/1/2000,AB,Butane,14378,48221,NULL,NULL
11/1/2000,AB,Butane,16746,50238,NULL,129
12/1/2000,AB,Butane,22957,43081,NULL,NULL
1/1/2001,AB,Butane,22467,27516,NULL,NULL
2/1/2001,AB,Butane,20527,32614,NULL,NULL
3/1/2001,AB,Butane,9540,37051,NULL,NULL
4/1/2001,AB,Butane,9631,16444,NULL,NULL
5/1/2001,AB,Butane,NULL,10161,NULL,NULL
6/1/2001,AB,Butane,9742,9346,NULL,NULL
7/1/2001,AB,Butane,6538,12247,NULL,NULL
8/1/2001,AB,Butane,11389,12663,NULL,NULL
9/1/2001,AB,Butane,9494,34362,NULL,39
10/1/2001,AB,Butane,15870,54328,NULL,704
11/1/2001,AB,Butane,18214,71368,NULL,598
12/1/2001,AB,Butane,17236,70765,NULL,387
1/1/2002,AB,Butane,18501,70752,NULL,583
2/1/2002,AB,Butane,18652,40599,NULL,552
3/1/2002,AB,Butane,5671,22494,NULL,625
4/1/2002,AB,Butane,6482,6631,NULL,NULL
5/1/2002,AB,Butane,NULL,2476,NULL,NULL
6/1/2002,AB,Butane,4989,6926,NULL,31
7/1/2002,AB,Butane,6447,7697,NULL,NULL
8/1/2002,AB,Butane,8423,14880,NULL,NULL
9/1/2002,AB,Butane,11685,14955,NULL,173
10/1/2002,AB,Butane,14864,21156,NULL,482
11/1/2002,AB,Butane,16137,30941,NULL,301
12/1/2002,AB,Butane,17159,45013,NULL,198
1/1/2003,AB,Butane,16782,25570,NULL,423
2/1/2003,AB,Butane,17763,14904,NULL,274
3/1/2003,AB,Butane,9843,11981,NULL,273
4/1/2003,AB,Butane,4609,5907,NULL,NULL
5/1/2003,AB,Butane,NULL,9562,NULL,NULL
6/1/2003,AB,Butane,NULL,3540,NULL,NULL
7/1/2003,AB,Butane,7042,5087,NULL,NULL
8/1/2003,AB,Butane,10619,5083,NULL,NULL
9/1/2003,AB,Butane,10929,6510,NULL,NULL
10/1/2003,AB,Butane,15271,13743,NULL,203
11/1/2003,AB,Butane,18792,23132,NULL,37
12/1/2003,AB,Butane,15987,22393,NULL,315
1/1/2004,AB,Butane,25391,15296,NULL,NULL
2/1/2004,AB,Butane,18426,13359,NULL,NULL
3/1/2004,AB,Butane,5298,13361,NULL,347
4/1/2004,AB,Butane,10219,9525,NULL,77
5/1/2004,AB,Butane,4004,2332,NULL,NULL
6/1/2004,AB,Butane,6304,2099,NULL,NULL
7/1/2004,AB,Butane,6375,6240,NULL,NULL
8/1/2004,AB,Butane,7080,7424,NULL,NULL
9/1/2004,AB,Butane,10692,12878,NULL,77
10/1/2004,AB,Butane,NULL,21259,NULL,385
11/1/2004,AB,Butane,NULL,27205,NULL,386
12/1/2004,AB,Butane,NULL,24118,NULL,520
1/1/2005,AB,Butane,NULL,27645,NULL,351
2/1/2005,AB,Butane,NULL,31658,NULL,307
3/1/2005,AB,Butane,NULL,16616,NULL,311
4/1/2005,AB,Butane,NULL,7451,NULL,76
5/1/2005,AB,Butane,NULL,5673,NULL,NULL
6/1/2005,AB,Butane,NULL,19769,NULL,NULL
7/1/2005,AB,Butane,NULL,21761,NULL,NULL
8/1/2005,AB,Butane,NULL,19671,NULL,NULL
9/1/2005,AB,Butane,NULL,23754,NULL,150
10/1/2005,AB,Butane,5935,29162,NULL,467
11/1/2005,AB,Butane,6022,37012,NULL,424
12/1/2005,AB,Butane,6099,31099,NULL,462
1/1/2006,AB,Butane,5984,30617,NULL,NULL
2/1/2006,AB,Butane,3773,25585,NULL,1468
3/1/2006,AB,Butane,1809,20575,NULL,NULL
4/1/2006,AB,Butane,NULL,10437,NULL,NULL
5/1/2006,AB,Butane,972,15081,NULL,NULL
6/1/2006,AB,Butane,3707,8134,NULL,NULL
7/1/2006,AB,Butane,1385,8295,NULL,NULL
8/1/2006,AB,Butane,2375,9602,NULL,NULL
9/1/2006,AB,Butane,2909,9376,NULL,NULL
10/1/2006,AB,Butane,7684,17064,NULL,NULL
11/1/2006,AB,Butane,9148,15292,NULL,150
12/1/2006,AB,Butane,19193,19789,NULL,NULL
1/1/2007,AB,Butane,7997,20794,NULL,NULL
2/1/2007,AB,Butane,3443,13497,NULL,NULL
3/1/2007,AB,Butane,3485,9481,NULL,NULL
4/1/2007,AB,Butane,NULL,6472,NULL,NULL
5/1/2007,AB,Butane,NULL,8935,NULL,NULL
6/1/2007,AB,Butane,3011,3286,NULL,NULL
7/1/2007,AB,Butane,8858,2418,NULL,NULL
8/1/2007,AB,Butane,2722,1292,NULL,NULL
9/1/2007,AB,Butane,5636,1178,NULL,NULL
10/1/2007,AB,Butane,10815,6368,NULL,NULL
11/1/2007,AB,Butane,10685,8487,NULL,NULL
12/1/2007,AB,Butane,10680,5349,NULL,NULL
1/1/2008,AB,Butane,8009,7373,NULL,NULL
2/1/2008,AB,Butane,5317,8649,NULL,NULL
3/1/2008,AB,Butane,2660,1296,NULL,NULL
5/1/2008,AB,Butane,NULL,3052,NULL,NULL
6/1/2008,AB,Butane,2647,1598,NULL,NULL
7/1/2008,AB,Butane,NULL,3596,NULL,NULL
8/1/2008,AB,Butane,NULL,3043,NULL,NULL
9/1/2008,AB,Butane,1803,11408,NULL,NULL
10/1/2008,AB,Butane,3598,28611,NULL,NULL
11/1/2008,AB,Butane,6309,27801,NULL,NULL
12/1/2008,AB,Butane,10800,16974,NULL,135
1/1/2009,AB,Butane,NULL,14619,NULL,31
2/1/2009,AB,Butane,3286,15920,NULL,153
3/1/2009,AB,Butane,NULL,12022,NULL,153
4/1/2009,AB,Butane,NULL,20901,NULL,NULL
5/1/2009,AB,Butane,NULL,25420,NULL,29
6/1/2009,AB,Butane,NULL,18982,NULL,84
7/1/2009,AB,Butane,NULL,27943,NULL,79
8/1/2009,AB,Butane,NULL,18428,NULL,26
9/1/2009,AB,Butane,NULL,19720,NULL,824
10/1/2009,AB,Butane,NULL,22145,NULL,177
11/1/2009,AB,Butane,NULL,10665,NULL,444
12/1/2009,AB,Butane,NULL,13907,NULL,471
1/1/2010,AB,Butane,NULL,16088,NULL,481
2/1/2010,AB,Butane,NULL,16069,NULL,NULL
3/1/2010,AB,Butane,NULL,12990,NULL,NULL
4/1/2010,AB,Butane,NULL,17890,NULL,30
5/1/2010,AB,Butane,NULL,17626,NULL,61
6/1/2010,AB,Butane,NULL,16357,NULL,NULL
7/1/2010,AB,Butane,NULL,10804,NULL,NULL
8/1/2010,AB,Butane,NULL,17035,NULL,NULL
9/1/2010,AB,Butane,NULL,3440,NULL,1155
10/1/2010,AB,Butane,NULL,3449,NULL,803
11/1/2010,AB,Butane,NULL,33022,NULL,801
12/1/2010,AB,Butane,NULL,9169,NULL,172
1/1/2011,AB,Butane,NULL,15082,NULL,311
2/1/2011,AB,Butane,NULL,9783,NULL,537
3/1/2011,AB,Butane,NULL,4744,NULL,487
4/1/2011,AB,Butane,NULL,1896,NULL,NULL
5/1/2011,AB,Butane,NULL,2964,NULL,NULL
6/1/2011,AB,Butane,NULL,1776,NULL,NULL
7/1/2011,AB,Butane,NULL,1187,NULL,28
8/1/2011,AB,Butane,NULL,2732,NULL,268
9/1/2011,AB,Butane,NULL,4173,NULL,363
10/1/2011,AB,Butane,NULL,4370,NULL,662
11/1/2011,AB,Butane,NULL,8072,NULL,806
12/1/2011,AB,Butane,NULL,9839,NULL,91
1/1/2012,AB,Butane,NULL,5689,NULL,151
2/1/2012,AB,Butane,NULL,4272,NULL,NULL
3/1/2012,AB,Butane,NULL,5552,NULL,NULL
4/1/2012,AB,Butane,NULL,3481,NULL,NULL
5/1/2012,AB,Butane,NULL,1900,NULL,NULL
6/1/2012,AB,Butane,NULL,2136,NULL,NULL
7/1/2012,AB,Butane,NULL,4611,NULL,NULL
8/1/2012,AB,Butane,NULL,10173,NULL,NULL
9/1/2012,AB,Butane,NULL,11559,NULL,NULL
10/1/2012,AB,Butane,NULL,14986,NULL,2934
11/1/2012,AB,Butane,NULL,10329,NULL,NULL
12/1/2012,AB,Butane,NULL,17456,NULL,119
1/1/2013,AB,Butane,NULL,10230,NULL,NULL
2/1/2013,AB,Butane,NULL,8571,NULL,NULL
3/1/2013,AB,Butane,NULL,6420,NULL,1797
4/1/2013,AB,Butane,NULL,1420,NULL,1794
5/1/2013,AB,Butane,NULL,3787,NULL,NULL
6/1/2013,AB,Butane,NULL,7441,NULL,NULL
7/1/2013,AB,Butane,NULL,6518,NULL,NULL
8/1/2013,AB,Butane,NULL,5691,NULL,NULL
9/1/2013,AB,Butane,NULL,5222,NULL,NULL
10/1/2013,AB,Butane,NULL,8893,NULL,NULL
11/1/2013,AB,Butane,NULL,11950,NULL,NULL
12/1/2013,AB,Butane,NULL,24748,NULL,NULL
1/1/2014,AB,Butane,NULL,23391,NULL,NULL
2/1/2014,AB,Butane,NULL,10299,NULL,NULL
3/1/2014,AB,Butane,NULL,4548,NULL,NULL
4/1/2014,AB,Butane,NULL,6137,NULL,NULL
5/1/2014,AB,Butane,NULL,3340,NULL,NULL
6/1/2014,AB,Butane,NULL,4982,NULL,3433
7/1/2014,AB,Butane,NULL,7648,NULL,NULL
8/1/2014,AB,Butane,NULL,10418,NULL,NULL
9/1/2014,AB,Butane,NULL,8564,NULL,NULL
10/1/2014,AB,Butane,NULL,5567,NULL,NULL
11/1/2014,AB,Butane,NULL,5341,NULL,NULL
12/1/2014,AB,Butane,NULL,4620,NULL,NULL
1/1/2015,AB,Butane,NULL,4386,NULL,NULL
2/1/2015,AB,Butane,NULL,10706,NULL,NULL
3/1/2015,AB,Butane,NULL,4145,NULL,NULL
4/1/2015,AB,Butane,NULL,3074,NULL,NULL
5/1/2015,AB,Butane,NULL,2366,NULL,NULL
6/1/2015,AB,Butane,NULL,5304,NULL,NULL
7/1/2015,AB,Butane,NULL,5096,NULL,NULL
8/1/2015,AB,Butane,NULL,3789,NULL,NULL
9/1/2015,AB,Butane,NULL,16034,NULL,NULL
10/1/2015,AB,Butane,NULL,10803,NULL,NULL
11/1/2015,AB,Butane,NULL,5733,NULL,559
12/1/2015,AB,Butane,NULL,8200,NULL,NULL
1/1/2016,AB,Butane,NULL,5955,NULL,NULL
2/1/2016,AB,Butane,NULL,4396,NULL,NULL
3/1/2016,AB,Butane,NULL,4635,NULL,709
4/1/2016,AB,Butane,NULL,5199,NULL,NULL
5/1/2016,AB,Butane,NULL,5807,NULL,NULL
6/1/2016,AB,Butane,NULL,6643,NULL,NULL
7/1/2016,AB,Butane,NULL,3915,NULL,NULL
9/1/2016,AB,Butane,NULL,7841,NULL,NULL
10/1/2016,AB,Butane,NULL,4302,NULL,NULL
11/1/2016,AB,Butane,NULL,4996,NULL,NULL
12/1/2016,AB,Butane,NULL,12778,NULL,NULL
1/1/2017,AB,Butane,NULL,21986,NULL,NULL
2/1/2017,AB,Butane,NULL,9559,NULL,NULL
3/1/2017,AB,Butane,NULL,3223,NULL,NULL
4/1/2017,AB,Butane,NULL,478,NULL,NULL
5/1/2017,AB,Butane,NULL,8348,NULL,NULL
6/1/2017,AB,Butane,NULL,11188,NULL,NULL
7/1/2017,AB,Butane,NULL,12788,NULL,NULL
8/1/2017,AB,Butane,NULL,3675,NULL,NULL
9/1/2017,AB,Butane,NULL,15891,NULL,NULL
10/1/2017,AB,Butane,NULL,16029,NULL,NULL
11/1/2017,AB,Butane,NULL,18721,NULL,NULL
12/1/2017,AB,Butane,NULL,19164,NULL,NULL
1/1/2018,AB,Butane,NULL,27055,NULL,NULL
2/1/2018,AB,Butane,NULL,24741,NULL,NULL
3/1/2018,AB,Butane,NULL,13035,NULL,2807
4/1/2018,AB,Butane,NULL,6518,NULL,NULL
5/1/2018,AB,Butane,NULL,10121,NULL,NULL
6/1/2018,AB,Butane,NULL,14353,NULL,NULL
7/1/2018,AB,Butane,NULL,16726,NULL,NULL
8/1/2018,AB,Butane,NULL,18246,NULL,586
9/1/2018,AB,Butane,NULL,31723,NULL,NULL
10/1/2018,AB,Butane,NULL,47684,NULL,403
11/1/2018,AB,Butane,NULL,91091,NULL,1938
12/1/2018,AB,Butane,NULL,94340,NULL,1739
1/1/2019,AB,Butane,NULL,112789,NULL,2028
2/1/2019,AB,Butane,NULL,80496,NULL,1420
1/1/1990,BC,Butane,NULL,31110,NULL,437
2/1/1990,BC,Butane,NULL,33798,NULL,1470
3/1/1990,BC,Butane,NULL,5939,NULL,2234
4/1/1990,BC,Butane,NULL,10628,NULL,1465
5/1/1990,BC,Butane,NULL,12845,NULL,NULL
6/1/1990,BC,Butane,NULL,11019,NULL,927
7/1/1990,BC,Butane,NULL,17143,NULL,2433
8/1/1990,BC,Butane,NULL,13592,NULL,181
9/1/1990,BC,Butane,NULL,20142,NULL,1789
10/1/1990,BC,Butane,NULL,36290,NULL,701
11/1/1990,BC,Butane,NULL,29473,NULL,NULL
12/1/1990,BC,Butane,NULL,30819,NULL,NULL
1/1/1991,BC,Butane,NULL,20747,NULL,NULL
2/1/1991,BC,Butane,NULL,39634,NULL,NULL
3/1/1991,BC,Butane,NULL,5817,NULL,NULL
4/1/1991,BC,Butane,NULL,5253,NULL,123
5/1/1991,BC,Butane,NULL,17630,NULL,919
6/1/1991,BC,Butane,NULL,17968,NULL,543
7/1/1991,BC,Butane,NULL,12762,NULL,2922
8/1/1991,BC,Butane,NULL,10955,NULL,630
9/1/1991,BC,Butane,NULL,14860,NULL,344
10/1/1991,BC,Butane,NULL,36153,NULL,NULL
11/1/1991,BC,Butane,NULL,23803,NULL,NULL
12/1/1991,BC,Butane,NULL,30243,NULL,NULL
1/1/1992,BC,Butane,NULL,33159,NULL,NULL
2/1/1992,BC,Butane,NULL,28643,NULL,NULL
3/1/1992,BC,Butane,NULL,7293,NULL,NULL
4/1/1992,BC,Butane,NULL,5195,NULL,NULL
5/1/1992,BC,Butane,NULL,5614,NULL,1332
6/1/1992,BC,Butane,NULL,9417,NULL,1331
7/1/1992,BC,Butane,NULL,9315,NULL,1019
8/1/1992,BC,Butane,NULL,11913,NULL,735
9/1/1992,BC,Butane,NULL,17064,NULL,591
10/1/1992,BC,Butane,NULL,33537,NULL,2389
11/1/1992,BC,Butane,NULL,39020,NULL,NULL
12/1/1992,BC,Butane,NULL,33255,NULL,NULL
1/1/1993,BC,Butane,NULL,38272,NULL,NULL
2/1/1993,BC,Butane,NULL,23211,NULL,NULL
3/1/1993,BC,Butane,NULL,11689,NULL,1003
4/1/1993,BC,Butane,NULL,15424,NULL,1065
5/1/1993,BC,Butane,NULL,15181,NULL,350
6/1/1993,BC,Butane,NULL,4070,NULL,1272
7/1/1993,BC,Butane,NULL,838,NULL,1652
8/1/1993,BC,Butane,NULL,12316,NULL,NULL
9/1/1993,BC,Butane,NULL,12367,NULL,NULL
10/1/1993,BC,Butane,NULL,22078,NULL,NULL
11/1/1993,BC,Butane,NULL,29862,NULL,NULL
12/1/1993,BC,Butane,NULL,25281,NULL,NULL
1/1/1994,BC,Butane,NULL,24431,NULL,NULL
2/1/1994,BC,Butane,NULL,18938,NULL,NULL
3/1/1994,BC,Butane,NULL,14323,NULL,NULL
4/1/1994,BC,Butane,NULL,3336,NULL,NULL
5/1/1994,BC,Butane,NULL,2989,NULL,NULL
6/1/1994,BC,Butane,NULL,1427,NULL,26
7/1/1994,BC,Butane,NULL,5073,NULL,NULL
8/1/1994,BC,Butane,NULL,15359,NULL,88
9/1/1994,BC,Butane,NULL,28104,NULL,NULL
10/1/1994,BC,Butane,NULL,32059,NULL,NULL
11/1/1994,BC,Butane,NULL,34491,NULL,NULL
12/1/1994,BC,Butane,NULL,40581,NULL,NULL
1/1/1995,BC,Butane,NULL,40499,NULL,NULL
2/1/1995,BC,Butane,NULL,34704,NULL,NULL
3/1/1995,BC,Butane,NULL,16522,NULL,36
4/1/1995,BC,Butane,NULL,17770,NULL,NULL
5/1/1995,BC,Butane,NULL,11515,NULL,NULL
6/1/1995,BC,Butane,NULL,13047,NULL,NULL
7/1/1995,BC,Butane,NULL,13905,NULL,NULL
8/1/1995,BC,Butane,NULL,17852,NULL,NULL
9/1/1995,BC,Butane,NULL,30254,NULL,NULL
10/1/1995,BC,Butane,NULL,31814,NULL,NULL
11/1/1995,BC,Butane,NULL,30177,NULL,NULL
12/1/1995,BC,Butane,NULL,32981,NULL,NULL
1/1/1996,BC,Butane,NULL,34476,NULL,NULL
2/1/1996,BC,Butane,NULL,53449,NULL,NULL
3/1/1996,BC,Butane,NULL,38690,NULL,NULL
4/1/1996,BC,Butane,NULL,28922,NULL,NULL
5/1/1996,BC,Butane,NULL,40229,NULL,NULL
6/1/1996,BC,Butane,NULL,25322,NULL,NULL
7/1/1996,BC,Butane,NULL,30720,NULL,NULL
8/1/1996,BC,Butane,NULL,19500,NULL,NULL
9/1/1996,BC,Butane,NULL,29298,NULL,NULL
10/1/1996,BC,Butane,NULL,39163,NULL,NULL
11/1/1996,BC,Butane,NULL,43522,NULL,NULL
12/1/1996,BC,Butane,NULL,37424,NULL,NULL
1/1/1997,BC,Butane,NULL,33168,NULL,NULL
2/1/1997,BC,Butane,NULL,37989,NULL,NULL
3/1/1997,BC,Butane,NULL,32739,NULL,26
4/1/1997,BC,Butane,NULL,20933,NULL,NULL
5/1/1997,BC,Butane,NULL,13162,NULL,NULL
6/1/1997,BC,Butane,NULL,828,NULL,NULL
7/1/1997,BC,Butane,NULL,1958,NULL,NULL
8/1/1997,BC,Butane,NULL,7713,NULL,NULL
9/1/1997,BC,Butane,NULL,26900,NULL,NULL
10/1/1997,BC,Butane,NULL,30862,NULL,NULL
11/1/1997,BC,Butane,NULL,23445,NULL,NULL
12/1/1997,BC,Butane,NULL,34979,NULL,NULL
1/1/1998,BC,Butane,NULL,27729,NULL,NULL
2/1/1998,BC,Butane,NULL,24397,NULL,NULL
3/1/1998,BC,Butane,NULL,11856,NULL,NULL
4/1/1998,BC,Butane,NULL,6841,NULL,NULL
5/1/1998,BC,Butane,NULL,11825,NULL,NULL
6/1/1998,BC,Butane,NULL,7746,NULL,NULL
7/1/1998,BC,Butane,NULL,5786,NULL,NULL
8/1/1998,BC,Butane,NULL,7545,NULL,NULL
9/1/1998,BC,Butane,NULL,15658,NULL,NULL
10/1/1998,BC,Butane,NULL,34773,NULL,NULL
11/1/1998,BC,Butane,NULL,31035,NULL,NULL
12/1/1998,BC,Butane,NULL,31524,NULL,NULL
1/1/1999,BC,Butane,NULL,23325,NULL,NULL
2/1/1999,BC,Butane,NULL,14850,NULL,NULL
3/1/1999,BC,Butane,NULL,7031,NULL,NULL
4/1/1999,BC,Butane,NULL,4609,NULL,NULL
5/1/1999,BC,Butane,NULL,3922,NULL,NULL
6/1/1999,BC,Butane,NULL,6545,NULL,NULL
7/1/1999,BC,Butane,NULL,7726,NULL,NULL
8/1/1999,BC,Butane,NULL,7846,NULL,NULL
9/1/1999,BC,Butane,NULL,10831,NULL,NULL
10/1/1999,BC,Butane,NULL,14388,NULL,NULL
11/1/1999,BC,Butane,NULL,20073,NULL,NULL
12/1/1999,BC,Butane,NULL,19658,NULL,NULL
1/1/2000,BC,Butane,NULL,18022,NULL,NULL
2/1/2000,BC,Butane,NULL,13533,NULL,NULL
3/1/2000,BC,Butane,NULL,7846,NULL,NULL
4/1/2000,BC,Butane,NULL,3093,NULL,NULL
5/1/2000,BC,Butane,NULL,1666,NULL,NULL
6/1/2000,BC,Butane,NULL,1190,NULL,NULL
7/1/2000,BC,Butane,NULL,1662,NULL,NULL
8/1/2000,BC,Butane,NULL,4250,NULL,NULL
9/1/2000,BC,Butane,NULL,3909,NULL,NULL
10/1/2000,BC,Butane,NULL,7111,NULL,NULL
11/1/2000,BC,Butane,NULL,4599,NULL,NULL
12/1/2000,BC,Butane,NULL,16410,NULL,NULL
1/1/2001,BC,Butane,NULL,8231,NULL,NULL
2/1/2001,BC,Butane,NULL,4716,NULL,NULL
3/1/2001,BC,Butane,NULL,4271,NULL,NULL
4/1/2001,BC,Butane,NULL,6872,NULL,NULL
5/1/2001,BC,Butane,NULL,4737,NULL,NULL
6/1/2001,BC,Butane,NULL,5088,NULL,NULL
7/1/2001,BC,Butane,NULL,5096,NULL,NULL
8/1/2001,BC,Butane,NULL,8483,NULL,NULL
9/1/2001,BC,Butane,NULL,5175,NULL,118
10/1/2001,BC,Butane,NULL,10651,NULL,NULL
11/1/2001,BC,Butane,NULL,10186,NULL,NULL
12/1/2001,BC,Butane,NULL,9251,NULL,NULL
1/1/2002,BC,Butane,NULL,8963,NULL,NULL
2/1/2002,BC,Butane,NULL,7246,NULL,NULL
3/1/2002,BC,Butane,NULL,3668,NULL,NULL
4/1/2002,BC,Butane,NULL,7170,NULL,NULL
5/1/2002,BC,Butane,NULL,20196,NULL,NULL
6/1/2002,BC,Butane,NULL,7882,NULL,NULL
7/1/2002,BC,Butane,NULL,11877,NULL,NULL
