Owner,Pipeline,Category,Type,Year,Unit,Value
TransCanada PipeLines Limited,Canadian Mainline,Financial Data,Net Income,2019,$,162000000.0
TransCanada PipeLines Limited,Canadian Mainline,Financial Data,Rate Base,2019,$,3534000000.0
TransCanada PipeLines Limited,Canadian Mainline,Financial Data,Return on Rate Base,2019,%,9.32
TransCanada PipeLines Limited,Canadian Mainline,Financial Data,Deemed Equity Ratio,2019,%,40.0
TransCanada PipeLines Limited,Canadian Mainline,Financial Data,Actual Return on Equity,2019,%,11.44
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2015,$,5257000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2016,$,10158000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2017,$,15585000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2018,$,21338000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2019,$,28609000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2010,$,82000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2010,$,70000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2010,$,413000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2010,%,6.4
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2011,$,82000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2011,$,69000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2011,$,394000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2011,%,6.47
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2012,$,82000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2012,$,69000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2012,$,373000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2012,%,6.76
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2013,$,79000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2013,$,64000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2013,$,362000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2013,%,5.66
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2014,$,81000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2014,$,60000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2014,$,353000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2014,%,6.12
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2015,$,84000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2015,$,59000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2015,$,343000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2015,%,5.91
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2016,$,81000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2016,$,56000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2016,$,340000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2016,%,6.4
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2017,$,85000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2017,$,57000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2017,$,334000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2017,%,5.32
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2018,$,90000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2018,$,56000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2018,$,329000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2018,%,5.59
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Revenue,2019,$,97000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Fixed Costs,2019,$,55000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Rate Base,2019,$,341000000.0
Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,Financial Data,Actual Return on Equity,2019,%,6.06
Vector Pipeline Limited Partnership,Vector Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2015,$,168000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2016,$,313000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2017,$,476000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2018,$,643000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Abandonment Trust Fund Balance,Trust Fund Balance,2019,$,860000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2011,$,10000000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2011,$,2800000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2011,$,6000000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2011,$,41100000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2012,$,10700000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2012,$,2800000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2012,$,7100000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2012,$,38800000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2013,$,9500000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2013,$,2900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2013,$,5900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2013,$,36900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2014,$,9900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2014,$,3000000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2014,$,6200000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2014,$,36200000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2015,$,9300000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2015,$,3200000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2015,$,5500000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2015,$,34000000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2016,$,8800000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2016,$,3700000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2016,$,4900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2016,$,45100000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2017,$,8700000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2017,$,3900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2017,$,4600000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2017,$,45900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2018,$,12300000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2018,$,4300000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2018,$,7500000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2018,$,45900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Revenue,2019,$,16200000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Expenses,2019,$,5600000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Net Income,2019,$,9900000.0
Vector Pipeline Limited Partnership,Vector Pipeline,Financial Information,Assets,2019,$,46600000.0
Enbridge Inc,Westcoast Transmission System,Abandonment Trust Fund Balance,Trust Fund Balance,2015,$,7433809.0
Enbridge Inc,Westcoast Transmission System,Abandonment Trust Fund Balance,Trust Fund Balance,2016,$,15714265.0
Enbridge Inc,Westcoast Transmission System,Abandonment Trust Fund Balance,Trust Fund Balance,2017,$,24585082.0
Enbridge Inc,Westcoast Transmission System,Abandonment Trust Fund Balance,Trust Fund Balance,2018,$,30763000.0
Enbridge Inc,Westcoast Transmission System,Abandonment Trust Fund Balance,Trust Fund Balance,2019,$,43855000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2010,$,296000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2010,$,35000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2010,$,1093000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2010,%,7.55
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2010,%,36.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2010,%,8.78
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2011,$,323000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2011,$,46000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2011,$,1074000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2011,%,8.12
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2011,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2011,%,10.01
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2012,$,325000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2012,$,50000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2012,$,1224000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2012,%,7.69
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2012,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2012,%,9.36
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2013,$,397000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2013,$,53000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2013,$,1349000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2013,%,7.67
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2013,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2013,%,9.54
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2014,$,385000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2014,$,54000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2014,$,1346000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2014,%,7.67
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2014,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2014,%,9.89
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2015,$,394000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2015,$,51000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2015,$,1347000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2015,%,7.35
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2015,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2015,%,9.01
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2016,$,381000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2016,$,63000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2016,$,1358000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2016,%,7.5
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2016,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2016,%,9.8
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2017,$,416000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2017,$,85000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2017,$,1603000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2017,%,7.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2017,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2017,%,9.8
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2018,$,504000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2018,$,115000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2018,$,2560000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2018,%,6.8
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2018,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2018,%,10.1
Enbridge Inc,Westcoast Transmission System,Financial Data,Revenue,2019,$,629000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Net Income,2019,$,126000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Rate Base,2019,$,2916000000.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Return on Rate Base,2019,%,6.4
Enbridge Inc,Westcoast Transmission System,Financial Data,Deemed Equity Ratio,2019,%,40.0
Enbridge Inc,Westcoast Transmission System,Financial Data,Actual Return on Equity,2019,%,9.4
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2013,$,1242000000.0
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2014,$,1222000000.0
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2015,$,697000000.0
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2016,$,2757000000.0
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2017,$,3431000000.0
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2018,$,2327000000.0
Enbridge Pipelines Inc,Enbridge Mainline,Financial Data,Revenue,2019,$,4074000000.0
